date,TRANSACTION_TYPE,TOTAL_TRANSACTIONS,TOTAL_SALES,TOTAL_UNITS,TOTAL_COUPONS
11/30/2016,S,1609,87179.06,7636,916
12/1/2016,S,2139,109071.89,9742,1303
12/2/2016,S,2049,117249.87,10347,1218
12/3/2016,S,2707,166313.07,13305,1587
12/4/2016,S,2606,163976.96,12895,1497
12/5/2016,S,2059,111816.54,9527,1254
12/6/2016,S,1886,91894.06,8213,1084
12/7/2016,S,1929,98848.18,9072,1137
12/8/2016,S,2011,107177.9,9316,1192
12/9/2016,S,2066,116070.58,9548,1302
12/10/2016,S,2604,164327.77,13067,1612
12/11/2016,S,2398,153073.52,11934,1498
12/12/2016,S,2168,116892.53,9549,1276
12/13/2016,S,2237,125799.12,9860,1463
12/14/2016,S,2244,113398.99,9422,1558
12/15/2016,S,1889,104941.14,8866,1205
12/16/2016,S,2132,124091.41,10025,1433
12/17/2016,S,2427,167678.61,12372,1580
12/18/2016,S,2592,163714.21,13033,1848
12/19/2016,S,2458,142445.23,11405,1672
12/20/2016,S,2515,145069.86,11266,1646
12/21/2016,S,2639,154672.2,11583,1667
12/22/2016,S,2823,168555.77,12748,1910
12/23/2016,S,3062,195427.41,13443,1785
12/24/2016,S,2185,130906.35,9486,1183
12/26/2016,S,2201,140744.37,10905,1538
12/27/2016,S,2308,131308.2,10320,1562
12/28/2016,S,2164,130334.7,10080,1624
12/29/2016,S,1982,125876.74,9953,1300
12/30/2016,S,2451,138914.14,10972,1701
12/31/2016,S,2145,118935.87,9760,1459
