DATE,TRANSACTION_TYPE,TOTAL_TRANSACTIONS,TOTAL_SALES,TOTAL_UNITS,TOTAL_COUPONS,TOTAL_RETURN_SALES,TOTAL_RETURN_UNITS
5/11/2016,S,1837,100467.84,8491,919,0,0
5/11/2016,R,112,0,0,0,5963.3,182
5/12/2016,S,1857,102995.54,8883,969,0,0
5/12/2016,R,113,0,0,0,5229.13,186
5/13/2016,S,1637,96315.79,8188,819,0,0
5/13/2016,R,94,0,0,0,5447.73,171
5/14/2016,S,2543,162205.4,13785,1277,0,0
5/14/2016,R,127,0,0,0,7589.86,215
5/15/2016,S,2335,173832.43,14053,1163,0,0
5/15/2016,R,173,0,0,0,10958.31,299
5/16/2016,S,2043,122180.93,10498,951,0,0
5/16/2016,R,143,0,0,0,5525.54,247
5/17/2016,S,1790,107226.79,9385,890,0,0
5/17/2016,R,129,0,0,0,7103.75,228
5/18/2016,S,1926,104805.59,9514,964,0,0
5/18/2016,R,125,0,0,0,8219.82,222
5/19/2016,S,1846,104270.94,9401,978,0,0
5/19/2016,R,120,0,0,0,6193.07,221
5/20/2016,S,2040,115063.24,10094,1123,0,0
5/20/2016,R,120,0,0,0,7075.35,221
5/21/2016,S,2287,140668.72,12107,1344,0,0
5/21/2016,R,182,0,0,0,15460.3,348
5/22/2016,S,2417,162602.05,13576,1314,0,0
5/22/2016,R,163,0,0,0,13080.71,296
5/23/2016,S,2092,118878.79,10409,1108,0,0
5/23/2016,R,140,0,0,0,7616.23,356
5/24/2016,S,1888,112697.45,9783,855,0,0
5/24/2016,R,106,0,0,0,6534.49,204
5/25/2016,S,1944,104791.55,8960,940,0,0
5/25/2016,R,127,0,0,0,7239.96,232
5/26/2016,S,1908,111372.28,9092,1015,0,0
5/26/2016,R,109,0,0,0,5958.3,227
5/27/2016,S,2263,149841.89,11370,1218,0,0
5/27/2016,R,136,0,0,0,9149.82,234
5/28/2016,S,2374,169278,12254,1120,0,0
5/28/2016,R,121,0,0,0,6712.4,190
5/29/2016,S,2263,157896.07,11856,1051,0,0
5/29/2016,R,148,0,0,0,11476.15,220
5/30/2016,S,2633,184728.43,13186,1310,0,0
5/30/2016,R,197,0,0,0,13148.37,407
5/31/2016,S,2170,135091.98,11249,992,0,0
5/31/2016,R,177,0,0,0,10779.84,306
6/1/2016,S,2111,131797.44,10856,868,0,0
6/1/2016,R,138,0,0,0,8538.62,225
6/2/2016,S,1991,132237.59,10708,975,0,0
6/2/2016,R,123,0,0,0,9472.57,241
6/3/2016,S,1938,119418.13,10047,854,0,0
6/3/2016,R,138,0,0,0,7940.53,236
6/4/2016,S,2383,153918.39,12998,1076,0,0
6/4/2016,R,145,0,0,0,8903.55,235
6/5/2016,S,2054,150754.22,12720,897,0,0
6/5/2016,R,140,0,0,0,12661.66,273
6/6/2016,S,2094,125785.79,10987,916,0,0
6/6/2016,R,154,0,0,0,8563.44,262
6/7/2016,S,1952,107376.08,9235,724,0,0
6/7/2016,R,139,0,0,0,9273.42,227
6/8/2016,S,1571,88816.59,7651,520,0,0
6/8/2016,R,111,0,0,0,5193.56,190
6/9/2016,S,1914,105512.71,9416,767,0,0
6/9/2016,R,110,0,0,0,5482.28,192
6/10/2016,S,1974,121829.22,10064,882,0,0
6/10/2016,R,139,0,0,0,8673.61,260
6/11/2016,S,2367,167532.29,13582,1051,0,0
6/11/2016,R,157,0,0,0,10097.49,292
6/12/2016,S,2262,147315.29,12247,950,0,0
6/12/2016,R,162,0,0,0,11445.34,307
6/13/2016,S,1879,107591.93,9565,771,0,0
6/13/2016,R,122,0,0,0,8658.19,188
6/14/2016,S,1875,107482.53,9433,817,0,0
6/14/2016,R,123,0,0,0,6931.82,255
6/15/2016,S,1936,109913.78,9661,981,0,0
6/15/2016,R,114,0,0,0,6384.45,212
6/16/2016,S,1852,106449.34,9689,885,0,0
6/16/2016,R,108,0,0,0,5730.22,214
6/17/2016,S,2041,121129.45,10524,1018,0,0
6/17/2016,R,136,0,0,0,7209.87,252
6/18/2016,S,2376,150814.65,12753,1172,0,0
6/18/2016,R,180,0,0,0,12921.72,318
6/19/2016,S,2145,136159.57,11825,1031,0,0
6/19/2016,R,155,0,0,0,11115.39,314
6/20/2016,S,1910,110931.1,9622,834,0,0
6/20/2016,R,131,0,0,0,7883.49,229
6/21/2016,S,1805,111302.38,9436,840,0,0
6/21/2016,R,126,0,0,0,5698.21,205
6/22/2016,S,1853,112949.53,9733,845,0,0
6/22/2016,R,110,0,0,0,7001.8,181
6/23/2016,S,1857,101429.7,9169,808,0,0
6/23/2016,R,111,0,0,0,5431.75,207
6/24/2016,S,2028,126399.09,11066,849,0,0
6/24/2016,R,126,0,0,0,7233.6,239
6/25/2016,S,2336,155297.84,13129,1032,0,0
6/25/2016,R,154,0,0,0,9306.04,285
6/26/2016,S,2397,161265.56,13989,972,0,0
6/26/2016,R,162,0,0,0,10340.11,309
6/27/2016,S,1920,116162.23,9776,769,0,0
6/27/2016,R,125,0,0,0,7242.67,215
6/28/2016,S,1830,108780.36,9832,654,0,0
6/28/2016,R,128,0,0,0,7611.72,246
6/29/2016,S,1956,115508.4,10085,821,0,0
6/29/2016,R,134,0,0,0,6480.87,221
6/30/2016,S,2079,117913.92,10000,942,0,0
6/30/2016,R,111,0,0,0,7126.23,207
7/1/2016,S,2070,136439.28,11094,950,0,0
7/1/2016,R,106,0,0,0,7909.71,194
7/2/2016,S,2390,163944.74,13198,1094,0,0
7/2/2016,R,139,0,0,0,7682.22,258
7/3/2016,S,2157,151369.89,11883,956,0,0
7/3/2016,R,136,0,0,0,8942.89,255
7/4/2016,S,1781,115127.29,9460,766,0,0
7/4/2016,R,134,0,0,0,9389.35,260
7/5/2016,S,2042,124555.63,10465,959,0,0
7/5/2016,R,142,0,0,0,7317.26,278
7/6/2016,S,2025,115089.69,9857,921,0,0
7/6/2016,R,138,0,0,0,7512.3,252
7/7/2016,S,1939,117246.87,9337,906,0,0
7/7/2016,R,124,0,0,0,8240.01,235
7/8/2016,S,1894,124328.91,9832,853,0,0
7/8/2016,R,111,0,0,0,6474.59,209
7/9/2016,S,2431,159947.07,13626,1076,0,0
7/9/2016,R,157,0,0,0,12276.72,238
7/10/2016,S,2408,156434.01,12745,1219,0,0
7/10/2016,R,186,0,0,0,11781.36,345
7/11/2016,S,2037,118686.37,9646,916,0,0
7/11/2016,R,139,0,0,0,7467.34,204
7/12/2016,S,1938,110398.65,9413,885,0,0
7/12/2016,R,140,0,0,0,9222.39,305
7/13/2016,S,1827,107402.77,9088,937,0,0
7/13/2016,R,106,0,0,0,5413.23,222
7/14/2016,S,1839,114941.23,9202,934,0,0
7/14/2016,R,117,0,0,0,5927.61,219
7/15/2016,S,2013,119808.23,9906,913,0,0
7/15/2016,R,126,0,0,0,7053.77,215
7/16/2016,S,2302,155062.17,12380,1181,0,0
7/16/2016,R,153,0,0,0,8920.47,244
7/17/2016,S,2353,160981.77,12964,1103,0,0
7/17/2016,R,181,0,0,0,14166,340
7/18/2016,S,1808,108257.41,8822,786,0,0
7/18/2016,R,115,0,0,0,6066.78,214
7/19/2016,S,2135,117579.31,9817,1181,0,0
7/19/2016,R,136,0,0,0,10832.41,270
7/20/2016,S,1902,106503.43,9055,1004,0,0
7/20/2016,R,118,0,0,0,7910.04,203
7/21/2016,S,1856,102670.86,9021,884,0,0
7/21/2016,R,114,0,0,0,7042.19,231
7/22/2016,S,1972,110489.41,9577,1020,0,0
7/22/2016,R,135,0,0,0,11196.99,318
7/23/2016,S,2204,143796.23,11580,1147,0,0
7/23/2016,R,128,0,0,0,7641.69,200
7/24/2016,S,2222,139858.74,11343,1056,0,0
7/24/2016,R,151,0,0,0,10231.75,256
7/25/2016,S,1566,91000.28,7686,696,0,0
7/25/2016,R,108,0,0,0,7949.46,182
7/26/2016,S,1800,110323.48,9049,914,0,0
7/26/2016,R,126,0,0,0,6896.18,247
7/27/2016,S,1840,101930.27,9008,841,0,0
7/27/2016,R,117,0,0,0,7407.15,257
7/28/2016,S,1735,97054.23,8263,866,0,0
7/28/2016,R,128,0,0,0,7437.99,252
7/29/2016,S,1951,121293.68,9833,1008,0,0
7/29/2016,R,126,0,0,0,7473.78,228
7/30/2016,S,2217,147897.83,11688,1103,0,0
7/30/2016,R,127,0,0,0,7591.49,251
7/31/2016,S,2345,168303.52,13718,1215,0,0
7/31/2016,R,205,0,0,0,13732.49,357
8/1/2016,S,2051,128684.52,10622,966,0,0
8/1/2016,R,145,0,0,0,8535.73,281
8/2/2016,S,1973,122828.48,10288,1018,0,0
8/2/2016,R,130,0,0,0,7715.4,240
8/3/2016,S,2012,117565.5,9989,988,0,0
8/3/2016,R,131,0,0,0,7638.14,286
8/4/2016,S,1912,119765.94,9815,900,0,0
8/4/2016,R,123,0,0,0,8433.42,259
8/5/2016,S,1856,109324.54,9243,872,0,0
8/5/2016,R,112,0,0,0,6992.72,198
8/6/2016,S,2310,167393.79,13234,1038,0,0
8/6/2016,R,139,0,0,0,10261.61,249
8/7/2016,S,2291,154144.79,12491,1072,0,0
8/7/2016,R,181,0,0,0,11060.45,342
8/8/2016,S,2053,115089.06,9728,918,0,0
8/8/2016,R,147,0,0,0,9192.75,255
8/9/2016,S,1850,109076.66,9452,779,0,0
8/9/2016,R,144,0,0,0,7328.79,272
8/10/2016,S,1608,94731.78,8149,632,0,0
8/10/2016,R,118,0,0,0,7049.91,185
8/11/2016,S,1733,101620.65,8191,743,0,0
8/11/2016,R,112,0,0,0,10498.68,252
8/12/2016,S,1819,121837.83,9847,795,0,0
8/12/2016,R,145,0,0,0,8618.39,249
8/13/2016,S,2251,167279.52,12757,1014,0,0
8/13/2016,R,149,0,0,0,9906.17,316
8/14/2016,S,2158,162911.41,12577,962,0,0
8/14/2016,R,148,0,0,0,9027.23,279
8/15/2016,S,2061,142670.49,11520,868,0,0
8/15/2016,R,122,0,0,0,6237,204
8/16/2016,S,1930,132965.02,10708,923,0,0
8/16/2016,R,111,0,0,0,7409.27,211
8/17/2016,S,1374,74168.22,6507,603,0,0
8/17/2016,R,126,0,0,0,7488.32,276
8/18/2016,S,2241,156320.16,12264,1142,0,0
8/18/2016,R,152,0,0,0,7620,242
8/19/2016,S,2307,164508.9,12538,1143,0,0
8/19/2016,R,178,0,0,0,9982.81,334
8/20/2016,S,2380,174808.33,14117,1090,0,0
8/20/2016,R,158,0,0,0,11604.27,293
8/21/2016,S,2379,174953.5,14693,1154,0,0
8/21/2016,R,156,0,0,0,8413.51,327
8/22/2016,S,2271,145924.19,11534,1190,0,0
8/22/2016,R,174,0,0,0,10180.88,314
8/23/2016,S,2145,168370.67,13365,949,0,0
8/23/2016,R,164,0,0,0,10099.73,296
8/24/2016,S,2096,150240.52,12190,925,0,0
8/24/2016,R,113,0,0,0,6293.38,222
8/25/2016,S,2193,184749.02,13767,1195,0,0
8/25/2016,R,149,0,0,0,8235.11,263
8/26/2016,S,2287,202507.74,15336,1124,0,0
8/26/2016,R,144,0,0,0,8554.11,275
8/27/2016,S,2727,274852.74,19314,1562,0,0
8/27/2016,R,210,0,0,0,16578.41,443
8/28/2016,S,3060,322279.42,23471,1966,0,0
8/28/2016,R,246,0,0,0,14928.32,484
8/29/2016,S,2567,202430.55,15797,1473,0,0
8/29/2016,R,203,0,0,0,11343.71,386
8/30/2016,S,2252,159248.85,13060,1102,0,0
8/30/2016,R,193,0,0,0,10374.72,338
8/31/2016,S,2216,160440.67,12091,1111,0,0
8/31/2016,R,171,0,0,0,10583.6,313
9/1/2016,S,2159,154232.25,12557,1025,0,0
9/1/2016,R,123,0,0,0,7060.3,230
9/2/2016,S,2563,190944.2,15022,1194,0,0
9/2/2016,R,173,0,0,0,8966.66,322
9/3/2016,S,2826,236414.79,17888,2166,0,0
9/3/2016,R,194,0,0,0,10548.67,326
9/4/2016,S,2918,224663.54,17641,1936,0,0
9/4/2016,R,213,0,0,0,11328.3,344
9/5/2016,S,2984,226538.6,17745,1783,0,0
9/5/2016,R,239,0,0,0,16608.03,431
9/6/2016,S,1972,117380.11,9907,736,0,0
9/6/2016,R,134,0,0,0,7099.69,252
9/7/2016,S,1916,122361.53,10299,800,0,0
9/7/2016,R,142,0,0,0,8773.49,271
9/8/2016,S,1949,112570.6,9788,648,0,0
9/8/2016,R,153,0,0,0,9799.05,320
9/9/2016,S,2039,120619.71,10405,702,0,0
9/9/2016,R,127,0,0,0,6500.76,207
9/10/2016,S,2514,173655.55,13871,905,0,0
9/10/2016,R,170,0,0,0,10483.04,282
9/11/2016,S,2555,172987.45,13930,1044,0,0
9/11/2016,R,228,0,0,0,16494.85,426
9/12/2016,S,2037,118621.79,10133,724,0,0
9/12/2016,R,180,0,0,0,10546.89,300
9/13/2016,S,1912,101692.97,8852,734,0,0
9/13/2016,R,134,0,0,0,6872.8,248
9/14/2016,S,1740,102545.9,8537,695,0,0
9/14/2016,R,133,0,0,0,7632.21,223
9/15/2016,S,1935,117599.76,9957,903,0,0
9/15/2016,R,128,0,0,0,7750.02,246
9/16/2016,S,2041,124615.23,10113,869,0,0
9/16/2016,R,147,0,0,0,7673.39,269
9/17/2016,S,2504,167935.19,13727,1101,0,0
9/17/2016,R,176,0,0,0,10015.88,340
9/18/2016,S,2339,153073.54,12619,1028,0,0
9/18/2016,R,179,0,0,0,14849.57,388
9/19/2016,S,1604,94967.18,7610,604,0,0
9/19/2016,R,106,0,0,0,7141.24,191
9/20/2016,S,1881,109183.2,8941,761,0,0
9/20/2016,R,137,0,0,0,7100.33,226
9/21/2016,S,2053,119138.81,9529,820,0,0
9/21/2016,R,142,0,0,0,6655.34,269
9/22/2016,S,1937,107198.87,9395,877,0,0
9/22/2016,R,123,0,0,0,6586.45,242
9/23/2016,S,1972,106793.41,9061,900,0,0
9/23/2016,R,121,0,0,0,6315.27,213
9/24/2016,S,2429,155491.23,12303,1153,0,0
9/24/2016,R,192,0,0,0,11524.26,332
9/25/2016,S,2414,158706.58,12465,1088,0,0
9/25/2016,R,200,0,0,0,13351.66,311
9/26/2016,S,1859,106835.45,8851,811,0,0
9/26/2016,R,141,0,0,0,7066.32,243
9/27/2016,S,1817,96815.53,8525,784,0,0
